index_term,alt_term
Acetaminophen and Oxycodone Combination (Percocet®),512s; Bananas; Blue; Blue Dynamite; Blueberries; Buttons; Ercs; Greenies; Hillbilly Heroin; Kickers; M-30s; Paulas; Percs; Rims; Tires; Wheels
Alprazolam (Xanax®),Bars; Benzos; Bicycle Handle Bars; Bicycle Parts; Bricks; Footballs; Handlebars; Hulk; L7; Ladders; Palitroque; Planks; School Bus; Sticks; Upjohns; White Boys; White Girls; Xanies; Yellow Boys; Zanbars; Zannies; Z-Bars
Amphetamine,Acelerador; Amy; Amps; Bam; B-Bombs; Beans; Bennies; Benz; Black and Whites; Black Beauties; Black Birds; Black Bombers; Black Mollies; Blacks; Blue Boys; Bombita; Brain Ticklers; Brownies; Bumblebees; Cartwheels; Chalk; Chicken Powder; Chochos; Chocolates; Christina; Chunk; Co-Pilot; Coast-to-Coasts; Crisscross; Cross Roads; Cross Tops; Crosses; Debs; Dexies; Diablos; Diamonds; Diet Pills; Dolls; Dominoes; Double Cross; Drivers; Dulces; Fives; Flour; Footballs; French Blues; Geeked Up; Goofballs; Greenies; Head Drugs; Hearts; Horse Heads; In-Betweens; Jelly Babies; Jelly Beans; Jolly Beans; Jugs; LA Turnaround; Leapers; Lid Poppers; Lightening; Little Bombs; Marathons; Mini Beans; Mini Bennies; Morning Shot; Nuggets; Oranges; Pastas; Pastillas; Peaches; Pep Pills; Pepper; Pingas; Pink Hearts; Pixies; Pollutants; Purple Hearts; Rhythm; Rippers; Road Dope; Roses; Rueda; Snaps; Snow Pallets; Sparkle Plenty; Sparklers; Speed; Splash; Sweeties; Sweets; Tens; Thrusters; TR-6s; Truck Drivers; Turnabouts; Uppers; Wake Ups; West Coast Turnarounds; Wheels; Whiffle Dust; White Crosses; Whites; Zoomers
Amphetamine and Dextroamphetamine Combination (Adderall®),A-Train; Abby; Addy; Amps; Christmas Trees; Co-Pilots; Lid Poppers; Smart Pills; Smarties; Study Buddies; Study Skittles; Truck Drivers; Zing
Buprenorphine and Naloxone Combination (Suboxone®),"Boxes, Bupes; Oranges; Sobos; Stop Signs; Stops; Subs"
Clonazepam (Klonopin®),Benzos; K; K-Pin; Pin; Super Valium; Tranks
Cocaine,7; 62; 77; 777; 921; A-1; Adidas; All-American Drug; Ancla; Angel Powder; Angie; Animals; Apache; Apodo; Arriba; Audi; Aunt Nora; Azucar; Baby Powder; Barrato; Basuco; Bazooka (cocaine paste mixed with marijuana); Beach; Belushi (cocaine mixed with heroin); Bernice; Bernie’s Flakes; Bernie’s Gold Dust; Big Bird; Big Bloke; Big C; Big Flake; Big Rush; Billie Hoke; Bird; Birdie Powder; Blanca Nieves; Blanco; Blast; Blizzard; Blonde; Blocks; Blow; BMW; Board; Bobo; Bolitas; Bolivian Marching Powder; Bombita (cocaine mixed with heroin); Booger Sugar; Bose; Bouncing Powder; Brisa; Bump; C-Dust; Caballo; Caca; Cadillac; California Pancakes; Calves; Canelon; Candy; Car; Carney; Carrie Nation; Cars; Case; Cebolla; Cecil; Cement; Charlie; Chevy; Cheyenne; Chica; Chicanitas; Chinos; Chiva; Cielo; Clear Kind; Clear Tires; Coca; Coca-Cola; Cocazo; Coconut; Coke; Cola; Colorado; Comida; Comida Dulce; Connie; Cookie; Cosa; Coso; Cosos; Crow; Crusty Treats; Cuadro; Death Valley; Designer Jeans; Devil’s Dandruff; Diamonds; Diente; Dienton; Diesel; Diosa Blanca; Dona Blanca; Double Bubble; Double Letters; Dove; Dream; Dulces; Duracell; Durazno; Duro; Dust; Escama; Escorpino; Falopa; Fef1; Fichas; Fiesta; Fire (cocaine base); Fish (liquid cocaine); Fish Scale; Flake; Flea Market Jeans; Florida Snow; Flour; Food; Foolish Powder; Fox; Freeze; Friskie Powder; Frula; Funtime; Gabacho; Galaxy; Gallos; Gato; Gift of the Sun; Gin; Girl; Girlfriend; Glad Stuff; Gold Dust; Green Gold; Gringa; Gringito; Grout; Guerillo; Gueros; Guitar; H1; Hai Hit; Hamburger; Happy Dust; Happy Powder; Happy Trails; Heaven; Heaven Dust; Heavy One; Hen; Henry VIII; HH; HHJ; High Heat; HMH; Hooter; Hundai; Hunter; Ice Cream; Icing; Inca Message; Izzy; Jam; Jaime Blanco; Jaula; Jeep; Jelly; John Deere; Joy Flakes; Joy Powder; Juguetes; Jump Rope; Junk; K13; King’s Habit; Kordell; La Familia; Lady; Lady Snow; Late Night; Lavada; Leaf; Libreta; Line; Loaf; Love Affair; LV; Maca Flour; Madera; Mama Coca; Mandango; Manita; Maradona; Marbol; Material; Mayback (62 grams); Mayo; Melcocha; Media Lata; Mercedes; Milk; Milonga; Mojo; Mona Lisa; Monte; Morro; Mosquitos; Movie Star Drug; Muchacha; Muebles; Mujer; Napkin; Nieve; Niña; Normal; Nose Candy; Nose Powder; Old Lady; Oyster Stew; Paint; Paloma; Paleta; Palomos; Pantalones; Papas; Paradise; Paradise White; Parrot; Pearl; Pedrito; Perico; Personal; Peruvian; Peruvian Flake; Peruvian Lady; Pescado; Peta; Pez; Pichicata; Pillow; Pimp; Pingas; Pingos; Pintura Blanca; Poli; Pollo; Polvo; Powder; Powder Diamonds; Puma; Puritain; Quadros; Queso Blanco; Racehorse Charlie; Rambo; Refresco; Refrescas; Regular Kind; Regular Work; Reindeer Dust; Richie; Rims; Rocky Mountain; Rolex; Rolex HH; Rooster; Scale; Schmeck; Schoolboy; Scorpion; Scottie; Seed; Serpico; Sierra; Shirt; Ski Equipment; Sleigh Ride; Sneeze; Sniff; Snow; Snow Bird; Snow Cone; Snow White; Snowball; Snowflake; Society High; Soda; Soditas; Soft; Space (cocaine mixed with PCP); Special; Speedball (cocaine mixed with heroin); Stardust; Star Spangled Powder; Studio Fuel; Suave; Sugar; Superman; Sweet Stuff; Tabique; Tablas; Talco; Talquito; Tamales; Taxi; Tecate; Teenager; Teeth; Tequila; Thunder; Tire; Tonto; Toot; Tortes; Tortuga; Toyota; T-Shirts; Tubo; Tucibi (pink variety); Turkey; Tutti-Frutti; Vaquita; Wash; Wet; Whack (cocaine mixed with PCP); White; White Bitch; White Cross; White Dove; White Girl; White Goat; White Horse; White Lady; White Mercedes Benz; White Mosquito; White Paint; White Powder; White Rock; White Root; White Shirt; White T; White Wall Tires; Whitey; Whiz Bang; Wings; Wooly; Work; Yayo; Yeyo; Yoda; Zapato; Zip
Crack Cocaine,51s; 151s; 501s; Apple Jack; Baby T; Base; Baseball; Bazooka; Beam Me Up; Beautiful Boulders; Beemer; Bill Blass; Bings; BJ; Black Rock; Blowcaine; Blowout; Blue; Bobo; Bolo; Bomb; Bone Crusher; Bone; Boo- Boo; Boulder; Boy; Breakfast of Champions; Bubble Gum; Bullion; Bump; Candy; Caps; Casper the Ghost; Caviar; CD; Cheap Basing; Chewies; Chingy; Clicker; Climax; Cloud; Cloud Nine; Cookies; CRC; Crib; Crunch and Munch; Devil; Devil Smoke; Dice; Dime Special; Dirty Basing; Dirty Fentanyl (crack cocaine mixed with fentanyl); Double Yoke; Durin; Eastside Player; Egg; Eye Opener; Famous Dimes; Fat Bags; Fifty-One; Fish Scales; Freebase; French Fries; Garbage Rock; Geek; Glo; Gold; Golf Ball; Gravel; Great White Hope; Grit; Groceries; Hail; Hamburger Helper; Hard; Hotcakes; Hubba; Ice; Ice Cubes; Issues; Jelly Beans; Johnson; Kangaroo; Kokoma; Kryptonite; Love; Mixed Jive; Moon Rock; Nickle; Nuggets; One-Fifty-One; Paste; Pebbles; Pee Wee; Piedras; Pile; Pony; Primo; Quarters; Raw; Ready Rock; Red Caps; RIP (Rest in Peace); Roca; Rock; Rock Attack; Rocks of Hell; Rocky III; Rooster; Rox; Roxanne; Roz; Schoolcraft; Scotty; Scramble; Scruples; Seven-Up; Sherms; Sight Ball; Slab; Sleet; Smoke; Speed Boat; Square Time Bomb; Stone; Sugar Block; Takeover (crack cocaine mixed with fentanyl); Teeth; Tension; Tissue; Top Gun; Troop; Ultimate; Up; Uzi; Wave; White Ball; White Ghost; White Sugar; White Tornado; Wrecking Crew; Yahoo; Yale; Yimyom
Ecstasy/MDMA/Molly,Adam; Baby Slits; Beans; Blue Kisses; Blue Superman; Bombs; Booty Juice (dissolved in liquid); Candy; Chocolate Chips; Clarity; Dancing Shoes; Decadence; Disco Biscuits; Doctor; Domex (ecstasy mixed with PCP); Drop; E; E-Bomb; Essence; Eve; Go; Goog; Green Apple; Happy Pill; Hug; Hug Drug; Kleenex; Love Doctor; Love Drug; Love Flip (taken with mescaline); Love Potion #9; Love Trip (ecstasy mixed with mescaline); Lover’s Speed; Malcolm X; Moon Rock; Peace; Pingaz; Pingers; Rolls; Rolling; Running; Scooby Snacks; Skittle; Smacks; Slits; Smarties; Speed for Lovers; Sweets; Tacha; Thizz; Vitamin E; Vowels; White Mercedes; X; XTC; Yokes
Fentanyl and Fentanyl Derivatives,Apache; Birria (fentanyl mixed with heroin); Blonde; Blue Diamond; Blue Dolphin; Blues; Butter; China Girl; China Town; China White; Chinese; Chinese Buffet; Chinese Food; Crazy; Crazy One; Dance Fever; Dragon; Dragon’s Breath; F; Food; Freddy; Fuf (furanyl fentanyl); Facebook (fentanyl mixed with heroin in pill form); Fent; Fenty; Fire; Friend; Girl; Goodfella; Great Bear; Gray Stuff; He-Man; Heineken; Huerfanito; Humid; Jackpot; King Ivory; Lollipop; Murder 8; Nal; Nil; Nyl; Opes; Pharmacy; Poison; Shoes; Snowflake; Tango and Cash; TNT; Toe Tag Dope; White Girl; White Ladies
Flunitrazepam (Rohypnol®),542; Circles; Date Rape Drug; Forget Pill; La Rocha; Lunch Money; Mexican Valium; Mind Eraser; Pingus; R2; Reynolds; Roach; Roapies; Rochas; Roofies; Rope; Rophies; Ro-Shay; T rip-and-Fall; Wolfies
GHB (Gamma-Hydroxybutyric Acid),Blowout; Bruno Mars; Cherry Meth; Easy Lay; Everclear; Fantasy; G; Gamma Oh; GEEB; Georgia Home Boy; Goop; Great Hormones at Bedtime; Grievous Bodily Harm; G-Riffic; Gina; Jib; Liquid E; Liquid X; Monkey Juice; Organic Quaalude; Salty Water; Scoop; Soap; Water
Heroin,Abajo; A-Bomb (heroin mixed with marijuana); Achivia; Adormidera; Amarilla; Anestesia  de Caballo (heroin mixed with the horse anesthetic xylazine); Antifreeze; Apodo; Arpon; Aunt Hazel; Avocado; Azucar; Bad Seed; Baja Corte (diluted heroin); Ballot; Basketball; Basura; Beast; Beyonce; Big Bag; Big H; Big Harry; Bird; Birdie Powder; Birria; Birria Blanca; Black; Black Bitch; Black Goat; Black Olives; Black Paint; Black Pearl; Black Sheep; Black Shirt; Black Tar; Blanco; Blue; Blow Dope; Blue Hero; Bombita (heroin mixed with cocaine); Bombs Away; Bonita; Boy; Bozo; Brea Negra; Brick Gum; Brown; Brown Crystal; Brown Rhine; Brown Sugar; Bubble Gum; Burrito; Butter; Caballo; Caballo Negro; Caca; Café; Cajeta; Capital H; Cardio (white heroin); Carga; Caro; Cement; Certificada (pure heroin); Chapopote; Charlie; Charlie Horse; Chavo; Cheese; Chicle; Chiclosa; China; China Blanca  (white heroin); China Cat; China White; Chinese Buffet (white heroin); Chinese Food; Chinese Red; Chip; Chiva; Chiva Blanca; Chiva Loca (heroin mixed with fentanyl); Chiva Negra; Chivones; Chocolate; Chocolate Balls; Chocolate Shake; Choko; Chorizo; Churro Negro; Chutazo; Coco; Coffee; Cohete; Comida; Crown Crap; Curley Hair; Dark; Dark Girl; Dark Kind; Dead on Arrival (DOA); Diesel; Dirt; Dog Food; Doggie; Doojee; Dope; Dorado; Down; Downtown; Dragon; Dreck; Dynamite; Dyno; El Diablo; Engines; Enrique Grande; Esquina; Esquinilla; Fairy Dust; Flea Powder; Food (white heroin); Foolish Powder; Galloping Horse; Gamot; Gato; George Smack; Girl; Globo (balloon of heroin); Goat; Golden Girl; Good and Plenty; Good H; Goofball (heroin mixed with methamphetamine); Goma; Gorda; Gras; Grasin; Gravy; Gum; H; H-Caps; Hairy; Hard Candy; Hard One; Harry; Hats; Hazel; Heaven Dust; Heavy; Helen; Helicopter; Hell Dust; Henry; Hercules; Hero; Him; Hombre; Horse; Hot Dope; Huera; Hummers; Jojee; Joy Flakes; Joy Powder; Junk; Kabayo; Karachi; Karate; King’s Tickets; La Tierra; Lemonade; Lenta; Lifesaver; Manteca; Marias; Marrion; Mayo; Mazpan; Meal; Menthol; Mexican Brown; Mexican Food (black tar heroin); Mexican Horse; Mexican Mud; Mexican Treat; Modelo Negra; Mojo; Mole; Mongega; Morena; Morenita; Mortal Combat; Motors; Mud; Mujer; Murcielago; Muzzle; Nanoo; Negra; Negra Tomasa; Negrita; Nice and Easy; Night; Noise; Obama; Old Steve; Pants; Patty; Peg; P-Funk; Piezas; Plata; Poison; Polvo; Polvo de Alegria; Polvo de Estrellas; Polvo Feliz; Poppy; Powder; Prostituta Negra; Puppy; Pure; Rambo; Raw (uncut heroin); Red Chicken; Red Eagle; Reindeer Dust; Roofing Tar; Ruby; Sack; Salt; Sand; Scag; Scat; Schmeck; Scramble (uncut heroin); Sheep; Shirts; Shoes; Skag; Skunk; Slime; Smack; Smeck; Snickers; Soda; Speedball (heroin mixed with cocaine); Spider Blue; Sticky Kind; Stufa; Sugar; Sweet Jesus; Tan; Tar; Tecata; Thunder; Tires; Tomasa; Tootsie Roll; Tragic Magic; Trees; Turtle; Vidrio; Weights; Whiskey; White; White Boy; White Girl; White Junk; White Lady; White Nurse; White Shirt; White Stuff; Wings; Witch; Witch Hazel; Zapapote
"Hydrocodone (Norco®, Vicodin®, Lorcet®)","357s; Bananas; Dones , Dro; Droco; Fluff; Hydros; Idiot Pills; Lemonade; Lorries; Scratch; Tabs; Triple V (Vicodin® taken with Valium® and Vodka); Veeks; Vics; Vikes; Watsons"
Hydromorphone (Dilaudid®),D; Dillies; K4; Needle Candy
